Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Leh,126788,7442,2024-06-27,2024-08-30,Solo,"Nature, Food-related",Homestay,North Indian,"Goa, Delhi",English,Andaman,90000-100000,Tropical,High,Villa,Wide how cold chance health production.,South Indian,2,Air commercial teach paper.,"Solang Valley, Rohtang Pass"
Andaman,117354,196227,2024-03-25,2024-05-03,Solo,Relaxation,Hostel,North Indian,Leh,English,Manali,170000-180000,Tropical,Low,Villa,Last kitchen theory meet address may.,Street Food,1,Movie alone theory activity.,"Munnar, Alleppey, Varkala"
Leh,26111,181241,2024-10-30,2024-11-02,Family,"Food-related, Cultural, Adventure",Villa,South Indian,Jaipur,English,Kerala,80000-90000,Moderate,Low,Homestay,Performance analysis street.,South Indian,4,Week back might point.,"Fort Kochi, Thekkady"
Jaipur,155611,22064,2024-12-12,2025-01-08,Solo,"Nature, Cultural",Hostel,Seafood,Delhi,English,Andaman,0-10000,Moderate,Low,Homestay,Vote do industry rich.,Seafood,5,True political determine no.,Kashi Vishwanath Temple
Leh,173220,67120,2024-03-19,2024-11-13,Couple,"Food-related, Nature",Resort,North Indian,Jaipur,English,Varanasi,50000-60000,Snowy,Medium,Hotel,Hope enjoy herself music score.,North Indian,3,Reduce whom however paper general involve.,Periyar Wildlife Sanctuary
Jaipur,19403,64450,2024-03-04,2024-07-28,Family,Cultural,Villa,Seafood,"Leh, Manali, Kerala",English,Rishikesh,130000-140000,Snowy,High,Hostel,Far capital kid.,North Indian,5,Action necessary provide second.,"Solang Valley, Rohtang Pass"
Delhi,70963,196312,2024-05-26,2025-01-02,Couple,"Relaxation, Food-related",Villa,Vegetarian,"Goa, Manali, Rishikesh",English,Rishikesh,150000-160000,Tropical,High,Homestay,Material more well how.,Vegetarian,2,Capital director day room.,"Munnar, Alleppey, Varkala"
Goa,34287,175918,2024-08-05,2024-12-01,Group,"Cultural, Food-related",Homestay,South Indian,"Leh, Manali, Goa",English,Goa,40000-50000,Moderate,High,Hostel,Suffer organization everyone.,Vegetarian,2,Child fish president side.,"Fort Kochi, Thekkady"
Kerala,142240,16890,2024-04-22,2024-11-22,Group,Nature,Resort,Vegetarian,"Manali, Leh",English,Mumbai,10000-20000,Moderate,High,Homestay,Side fact eat law group wear.,Vegetarian,3,Hit could increase benefit.,Kashi Vishwanath Temple
Kerala,195317,175911,2024-03-06,2024-03-12,Solo,"Cultural, Food-related, Nature",Villa,Vegetarian,Rishikesh,English,Manali,70000-80000,Snowy,Medium,Hotel,Subject lead away only kid.,Street Food,2,Others hear themselves tree rather.,Periyar Wildlife Sanctuary
Andaman,164334,151092,2024-09-24,2024-12-08,Family,Food-related,Homestay,Vegetarian,"Andaman, Delhi, Rishikesh",English,Kerala,190000-200000,Tropical,Low,Homestay,Garden edge case.,Street Food,2,Walk sign product.,"Solang Valley, Rohtang Pass"
Jaipur,141936,61612,2024-07-27,2024-11-16,Solo,"Cultural, Food-related",Hostel,Street Food,Andaman,English,Jaipur,30000-40000,Tropical,Low,Hostel,Simple feel relationship civil rate bag.,North Indian,1,Security fact choice argue program thought similar.,"Munnar, Alleppey, Varkala"
Varanasi,14364,177143,2024-12-10,2024-12-24,Family,"Relaxation, Nature",Villa,Street Food,"Jaipur, Kerala",English,Jaipur,100000-110000,Snowy,Low,Resort,Cold still analysis floor heart month than.,Vegetarian,3,Play now prevent enough sea.,"Fort Kochi, Thekkady"
Varanasi,6593,146337,2024-03-20,2024-12-04,Group,"Relaxation, Cultural, Adventure",Hotel,Street Food,"Delhi, Goa",English,Leh,90000-100000,Snowy,Medium,Resort,These offer from.,Vegetarian,5,Gas turn foot hard.,Kashi Vishwanath Temple
Goa,168012,192728,2024-01-19,2024-02-18,Group,Adventure,Hotel,Seafood,"Mumbai, Varanasi",English,Mumbai,90000-100000,Tropical,Low,Homestay,Loss actually local.,Seafood,3,Her money degree democratic.,Periyar Wildlife Sanctuary
Varanasi,111509,115722,2024-02-10,2024-04-15,Family,"Relaxation, Cultural, Nature",Hotel,Street Food,Rishikesh,English,Andaman,160000-170000,Tropical,High,Hotel,Imagine always police.,North Indian,4,Lot maybe successful one administration.,"Solang Valley, Rohtang Pass"
Varanasi,17029,48844,2024-11-19,2024-12-08,Family,"Cultural, Nature, Adventure",Villa,South Indian,"Mumbai, Kerala, Jaipur",English,Mumbai,50000-60000,Tropical,Low,Villa,Item fire grow method work about.,Seafood,4,Other meet doctor Republican from.,"Munnar, Alleppey, Varkala"
Varanasi,157487,37236,2024-05-20,2024-09-29,Group,Food-related,Homestay,Vegetarian,Rishikesh,English,Manali,160000-170000,Tropical,High,Villa,Resource kitchen dream them.,North Indian,1,Such time answer learn.,"Fort Kochi, Thekkady"
Kerala,158037,159381,2024-05-08,2024-07-27,Solo,"Nature, Relaxation",Hostel,Vegetarian,"Delhi, Kerala, Varanasi",English,Varanasi,30000-40000,Moderate,Low,Resort,Impact seek red.,Vegetarian,3,Month yet whose manager language nearly.,Kashi Vishwanath Temple
Jaipur,106761,177274,2024-04-22,2025-01-07,Solo,"Cultural, Nature, Relaxation",Hotel,North Indian,Mumbai,English,Varanasi,150000-160000,Tropical,Medium,Resort,Through store why.,North Indian,2,Her instead science.,Periyar Wildlife Sanctuary
Leh,192214,50445,2024-10-03,2024-11-09,Group,"Cultural, Adventure, Relaxation",Villa,Seafood,Varanasi,English,Jaipur,180000-190000,Tropical,Low,Hostel,International big language behavior.,Vegetarian,1,Issue nor agency can hair affect.,"Solang Valley, Rohtang Pass"
Rishikesh,110690,121941,2024-02-05,2024-10-17,Solo,"Adventure, Cultural",Hostel,Vegetarian,Andaman,English,Delhi,10000-20000,Tropical,Medium,Resort,Sound although deep sing.,South Indian,5,Toward nothing movement really beyond financial.,"Munnar, Alleppey, Varkala"
Leh,51231,153395,2024-02-12,2024-03-13,Couple,"Relaxation, Adventure",Homestay,North Indian,Manali,English,Goa,170000-180000,Snowy,Low,Homestay,Condition recently throughout.,Street Food,3,Campaign against present.,"Fort Kochi, Thekkady"
Kerala,116532,74710,2024-10-18,2024-11-08,Solo,"Relaxation, Cultural",Homestay,Seafood,Varanasi,English,Manali,20000-30000,Tropical,High,Resort,Beautiful room guy old scientist.,Street Food,1,Important try maybe.,Kashi Vishwanath Temple
Rishikesh,32937,103393,2024-10-01,2025-01-12,Solo,"Nature, Relaxation, Food-related",Villa,Street Food,"Andaman, Kerala, Delhi",English,Manali,150000-160000,Tropical,High,Hotel,Late interview work.,Vegetarian,5,Above college reflect station.,Periyar Wildlife Sanctuary
Andaman,145315,56683,2024-06-01,2024-08-19,Group,"Adventure, Cultural, Nature",Homestay,North Indian,"Varanasi, Jaipur, Goa",English,Delhi,100000-110000,Moderate,Low,Resort,Manage position not determine yeah.,South Indian,5,Guess leave particularly feeling age painting.,"Solang Valley, Rohtang Pass"
Kerala,45477,93393,2024-04-05,2024-11-30,Family,Adventure,Hotel,Vegetarian,Rishikesh,English,Leh,10000-20000,Moderate,High,Hostel,Before require every affect bit.,Street Food,1,Really stock watch turn air.,"Munnar, Alleppey, Varkala"
Kerala,133803,180659,2024-08-15,2024-12-08,Couple,"Adventure, Nature",Resort,South Indian,"Varanasi, Manali",English,Leh,180000-190000,Moderate,Medium,Homestay,Project opportunity natural on shake after.,Vegetarian,4,Realize firm after between buy.,"Fort Kochi, Thekkady"
Goa,73099,51729,2024-04-11,2024-10-18,Family,"Adventure, Cultural",Villa,Street Food,Leh,English,Jaipur,100000-110000,Tropical,Low,Villa,Last size treat bar represent.,Seafood,5,Form daughter ready.,Kashi Vishwanath Temple
Kerala,121597,67247,2024-07-27,2024-09-17,Family,"Food-related, Relaxation",Hotel,Street Food,Varanasi,English,Varanasi,60000-70000,Tropical,Low,Resort,As analysis now.,Street Food,5,Happen ten pick.,Periyar Wildlife Sanctuary
Varanasi,74389,134164,2024-07-20,2024-10-26,Couple,"Food-related, Nature, Adventure",Hostel,South Indian,"Jaipur, Mumbai, Kerala",English,Kerala,40000-50000,Snowy,Low,Villa,Process situation religious do between various.,Vegetarian,4,Fast trip store discussion he.,"Solang Valley, Rohtang Pass"
Jaipur,78825,11977,2024-06-26,2024-08-05,Family,"Cultural, Nature",Homestay,Street Food,"Jaipur, Goa",English,Andaman,140000-150000,Moderate,High,Hostel,Attention laugh team.,North Indian,1,Democrat save police age.,"Munnar, Alleppey, Varkala"
Rishikesh,21205,75775,2024-04-05,2024-09-10,Solo,"Nature, Relaxation, Cultural",Hostel,South Indian,"Andaman, Mumbai",English,Andaman,130000-140000,Moderate,Medium,Hostel,Kind appear relate term pattern.,Vegetarian,1,Available environmental show.,"Fort Kochi, Thekkady"
Mumbai,144718,99925,2024-09-28,2024-10-31,Group,Relaxation,Homestay,Street Food,Kerala,English,Kerala,30000-40000,Snowy,Low,Resort,Hit nor father.,Seafood,3,Especially project there with.,Kashi Vishwanath Temple
Kerala,161937,137128,2024-12-04,2024-12-05,Solo,"Nature, Relaxation",Hotel,Seafood,"Goa, Delhi, Varanasi",English,Mumbai,120000-130000,Snowy,Low,Hotel,Environment stuff north.,Vegetarian,4,Thus size meeting capital fine factor behind.,Periyar Wildlife Sanctuary
Mumbai,14358,83547,2024-03-30,2024-12-04,Couple,"Relaxation, Nature, Food-related",Homestay,South Indian,"Manali, Goa",English,Andaman,160000-170000,Moderate,Medium,Villa,New agency matter.,Vegetarian,1,Clearly water raise market.,"Solang Valley, Rohtang Pass"
Delhi,53569,104869,2024-02-23,2024-09-28,Solo,"Relaxation, Food-related, Adventure",Homestay,North Indian,"Delhi, Goa",English,Rishikesh,40000-50000,Snowy,Low,Resort,Off traditional relationship bed.,South Indian,3,Yet visit PM newspaper.,"Munnar, Alleppey, Varkala"
Jaipur,60964,158786,2024-03-15,2024-05-09,Solo,"Relaxation, Cultural",Resort,Street Food,Kerala,English,Rishikesh,0-10000,Moderate,Medium,Resort,Half new son visit computer.,North Indian,3,Bank manage reach suggest change pull.,"Fort Kochi, Thekkady"
Varanasi,147548,38768,2024-04-11,2024-09-23,Family,"Relaxation, Food-related, Nature",Hostel,North Indian,Goa,English,Leh,50000-60000,Tropical,Low,Homestay,Still near born board table.,South Indian,3,Feel number admit next service.,Kashi Vishwanath Temple
Goa,45468,194902,2024-02-09,2024-10-19,Family,Relaxation,Hostel,Street Food,Delhi,English,Goa,130000-140000,Moderate,Medium,Homestay,Yard rich sense toward affect.,Street Food,5,Doctor challenge girl.,Periyar Wildlife Sanctuary
Kerala,135997,119091,2024-11-01,2024-11-02,Family,"Food-related, Adventure",Homestay,North Indian,Varanasi,English,Leh,20000-30000,Snowy,Medium,Villa,Century item world central.,South Indian,5,Quickly south knowledge.,"Solang Valley, Rohtang Pass"
Goa,145755,120899,2024-04-20,2024-08-14,Group,"Food-related, Relaxation",Hostel,North Indian,"Kerala, Delhi",English,Manali,170000-180000,Tropical,Low,Hostel,Could effect record professional.,Vegetarian,4,Section meeting hit lose give in.,"Munnar, Alleppey, Varkala"
Delhi,86223,166221,2024-10-20,2024-12-28,Family,Cultural,Hostel,North Indian,Mumbai,English,Leh,80000-90000,Tropical,Low,Resort,Agree think feel culture friend.,Seafood,3,Glass where difference home.,"Fort Kochi, Thekkady"
Varanasi,44929,44580,2024-08-15,2025-01-10,Group,"Cultural, Nature, Food-related",Villa,Street Food,"Manali, Leh, Jaipur",English,Varanasi,80000-90000,Snowy,Medium,Hostel,Whether focus official financial.,Street Food,4,Magazine including car.,Kashi Vishwanath Temple
Manali,79471,198850,2024-02-01,2024-02-07,Solo,"Relaxation, Food-related",Hostel,North Indian,Rishikesh,English,Goa,190000-200000,Tropical,Medium,Homestay,Happen apply choose.,Street Food,2,Democratic leader after early table.,Periyar Wildlife Sanctuary
Varanasi,133980,190765,2024-10-19,2024-11-05,Couple,Food-related,Homestay,Street Food,"Leh, Jaipur",English,Kerala,170000-180000,Moderate,Medium,Homestay,Full read shake public late a.,South Indian,3,Provide become wrong personal tree arrive.,"Solang Valley, Rohtang Pass"
Varanasi,102115,90916,2024-07-13,2024-10-26,Solo,Adventure,Hostel,South Indian,"Jaipur, Varanasi",English,Varanasi,70000-80000,Moderate,Low,Hotel,Senior future hotel.,Seafood,2,Firm can protect over debate owner.,"Munnar, Alleppey, Varkala"
Varanasi,61724,165333,2024-05-27,2024-10-03,Solo,"Relaxation, Nature",Villa,Street Food,Andaman,English,Leh,10000-20000,Tropical,Low,Villa,Agree say statement movement.,Vegetarian,2,International leader message consumer.,"Fort Kochi, Thekkady"
Andaman,102000,68590,2024-05-28,2024-10-07,Solo,Nature,Resort,Seafood,"Manali, Mumbai",English,Goa,120000-130000,Moderate,High,Villa,Population will born stop moment.,North Indian,1,Herself list beautiful room.,Kashi Vishwanath Temple
Mumbai,46640,96720,2024-08-11,2024-11-12,Family,"Cultural, Nature",Resort,Vegetarian,"Leh, Kerala, Varanasi",English,Andaman,140000-150000,Snowy,Medium,Villa,Hard every effect you detail.,North Indian,4,Draw any group respond.,Periyar Wildlife Sanctuary
Manali,57436,89501,2024-02-01,2024-08-19,Solo,Relaxation,Homestay,Street Food,"Varanasi, Mumbai",English,Varanasi,150000-160000,Tropical,High,Resort,Gun simple media.,North Indian,4,Message peace suggest strategy shake establish.,"Solang Valley, Rohtang Pass"
Goa,179518,81635,2024-09-30,2025-01-06,Family,"Cultural, Nature, Food-related",Hostel,North Indian,Andaman,English,Mumbai,190000-200000,Snowy,Low,Homestay,Role approach prevent glass page.,Seafood,5,Second morning society result seat like.,"Munnar, Alleppey, Varkala"
Mumbai,194348,163038,2024-08-10,2024-11-18,Group,Adventure,Homestay,North Indian,"Jaipur, Andaman",English,Manali,180000-190000,Snowy,Medium,Homestay,Them some argue Democrat have.,Vegetarian,2,Think town quickly office stay.,"Fort Kochi, Thekkady"
Varanasi,125098,148128,2024-11-07,2024-11-20,Group,Food-related,Resort,Vegetarian,"Kerala, Varanasi",English,Goa,130000-140000,Moderate,Medium,Resort,Born degree experience spring matter front.,South Indian,3,Treatment none community return claim.,Kashi Vishwanath Temple
Manali,112319,58038,2024-11-29,2024-12-19,Family,"Nature, Relaxation",Villa,Seafood,"Jaipur, Kerala, Varanasi",English,Goa,0-10000,Moderate,Low,Resort,And finish recent someone director.,South Indian,4,Month certainly pattern others color play.,Periyar Wildlife Sanctuary
Varanasi,172628,88454,2024-04-02,2024-09-06,Couple,Adventure,Villa,Seafood,"Manali, Leh, Varanasi",English,Jaipur,10000-20000,Tropical,High,Resort,Receive until into policy box develop.,Street Food,4,Generation street hard fear if plan.,"Solang Valley, Rohtang Pass"
Jaipur,63744,172384,2024-01-25,2024-05-09,Family,Cultural,Villa,Seafood,"Delhi, Rishikesh",English,Andaman,130000-140000,Moderate,High,Villa,Natural season eat admit today.,North Indian,1,Down top sure much walk doctor.,"Munnar, Alleppey, Varkala"
Andaman,30195,13740,2024-11-19,2024-12-28,Solo,"Nature, Food-related",Hostel,Seafood,Varanasi,English,Jaipur,110000-120000,Snowy,Low,Hotel,Occur close successful agreement their.,South Indian,3,Believe work north true.,"Fort Kochi, Thekkady"
Kerala,198958,174827,2024-06-16,2024-12-16,Group,"Nature, Adventure, Relaxation",Resort,South Indian,Rishikesh,English,Kerala,160000-170000,Moderate,Medium,Hotel,Civil theory important.,South Indian,1,Particular church available hair drug.,Kashi Vishwanath Temple
Delhi,176443,85323,2024-06-01,2024-07-09,Family,"Relaxation, Food-related, Cultural",Hostel,Vegetarian,"Mumbai, Delhi",English,Leh,150000-160000,Snowy,Medium,Resort,True government plan.,North Indian,5,Make eat away arm administration our.,Periyar Wildlife Sanctuary
Jaipur,147921,18096,2024-04-29,2024-10-26,Group,"Relaxation, Food-related",Villa,Vegetarian,"Jaipur, Leh",English,Goa,50000-60000,Snowy,Medium,Hostel,Follow around yes teacher.,South Indian,4,Parent good imagine paper him eye ready.,"Solang Valley, Rohtang Pass"
Varanasi,172394,68370,2024-02-05,2024-11-30,Group,Relaxation,Homestay,North Indian,Rishikesh,English,Kerala,160000-170000,Moderate,High,Villa,Unit on identify.,North Indian,5,Difficult tonight enjoy fall.,"Munnar, Alleppey, Varkala"
Goa,33489,148890,2024-03-02,2024-11-03,Family,"Relaxation, Nature",Villa,Seafood,"Manali, Mumbai, Kerala",English,Kerala,150000-160000,Moderate,Low,Hostel,Box house play.,Seafood,1,Organization accept TV child million able.,"Fort Kochi, Thekkady"
Kerala,49046,101612,2024-09-10,2024-09-27,Solo,"Food-related, Nature, Cultural",Hostel,Seafood,"Manali, Goa, Mumbai",English,Leh,50000-60000,Tropical,Low,Resort,Environmental design shake.,Vegetarian,5,Quickly cost artist end rest require.,Kashi Vishwanath Temple
Mumbai,156834,9160,2024-01-11,2024-04-25,Couple,"Cultural, Adventure, Relaxation",Resort,Vegetarian,"Jaipur, Mumbai, Andaman",English,Goa,190000-200000,Tropical,Low,Villa,Role full white collection.,South Indian,1,Figure who poor.,Periyar Wildlife Sanctuary
Varanasi,195645,197272,2024-08-31,2024-09-10,Group,"Cultural, Nature, Adventure",Homestay,Street Food,Andaman,English,Rishikesh,80000-90000,Moderate,Medium,Resort,Effort he top voice.,Vegetarian,1,Indeed check rather wait pretty.,"Solang Valley, Rohtang Pass"
Varanasi,8770,165113,2024-08-11,2024-12-05,Solo,Adventure,Resort,North Indian,Leh,English,Goa,150000-160000,Tropical,Medium,Hostel,Character listen east race method people.,North Indian,2,Court let by second.,"Munnar, Alleppey, Varkala"
Mumbai,61068,53737,2024-01-14,2024-07-21,Solo,"Nature, Relaxation, Adventure",Resort,South Indian,Varanasi,English,Rishikesh,120000-130000,Moderate,Low,Resort,Thousand share line standard describe.,Vegetarian,1,Build benefit say approach.,"Fort Kochi, Thekkady"
Rishikesh,168986,169045,2024-09-10,2024-10-16,Family,"Relaxation, Cultural",Resort,South Indian,Jaipur,English,Delhi,180000-190000,Moderate,High,Villa,Carry technology must already.,North Indian,5,Power fill everybody leave court.,Kashi Vishwanath Temple
Manali,169720,187192,2024-02-19,2024-08-16,Solo,Relaxation,Hotel,Street Food,"Manali, Andaman",English,Andaman,70000-80000,Tropical,Low,Villa,Focus family tough buy.,Seafood,2,Walk public general.,Periyar Wildlife Sanctuary
Manali,33925,40457,2024-06-10,2024-11-15,Solo,"Adventure, Cultural",Hotel,Seafood,Delhi,English,Leh,120000-130000,Snowy,High,Hostel,Board bag this memory reveal first.,Street Food,4,Form answer risk note them sell of.,"Solang Valley, Rohtang Pass"
Delhi,121837,48298,2024-06-09,2025-01-09,Couple,Cultural,Villa,Vegetarian,Kerala,English,Andaman,70000-80000,Tropical,High,Villa,Mention consider food course trouble industry.,Street Food,4,Movement economy people.,"Munnar, Alleppey, Varkala"
Goa,138720,150899,2024-02-08,2024-04-12,Solo,Nature,Resort,Seafood,"Jaipur, Manali, Andaman",English,Goa,140000-150000,Tropical,Medium,Hostel,Produce front spend simple.,North Indian,5,Able talk computer side.,"Fort Kochi, Thekkady"
Jaipur,100117,101014,2024-01-09,2024-01-16,Group,"Nature, Adventure",Homestay,South Indian,"Leh, Rishikesh, Andaman",English,Jaipur,110000-120000,Tropical,Low,Hostel,Administration open standard bank include what.,North Indian,1,Kid mother great great cost consumer.,Kashi Vishwanath Temple
Andaman,21172,5451,2024-08-16,2024-09-20,Couple,"Food-related, Cultural",Villa,Seafood,"Manali, Kerala",English,Andaman,160000-170000,Tropical,Low,Homestay,Well let leave marriage front bed.,North Indian,4,Important night Republican candidate.,Periyar Wildlife Sanctuary
Mumbai,124614,7395,2024-06-17,2024-10-05,Solo,"Nature, Adventure",Hotel,South Indian,"Jaipur, Manali, Delhi",English,Kerala,30000-40000,Tropical,Low,Hostel,Across provide trip which.,North Indian,5,Spend program third.,"Solang Valley, Rohtang Pass"
Andaman,158245,195570,2024-08-14,2024-11-10,Couple,"Relaxation, Food-related",Hostel,Vegetarian,Andaman,English,Varanasi,70000-80000,Moderate,Medium,Hostel,Before skill Democrat throughout.,Street Food,2,Again such color eat plant.,"Munnar, Alleppey, Varkala"
Jaipur,95975,129108,2024-09-13,2024-11-30,Couple,Cultural,Hostel,Street Food,"Rishikesh, Varanasi, Goa",English,Varanasi,20000-30000,Snowy,High,Villa,More guy will investment carry entire.,South Indian,1,Run president student buy.,"Fort Kochi, Thekkady"
Andaman,26791,53968,2024-02-16,2025-01-06,Solo,"Food-related, Cultural, Adventure",Hostel,Vegetarian,Leh,English,Goa,140000-150000,Moderate,Low,Resort,Middle note cup whole if.,Street Food,1,Second message main including option.,Kashi Vishwanath Temple
Kerala,177963,51821,2024-07-07,2024-08-02,Family,"Food-related, Cultural, Nature",Hostel,South Indian,Delhi,English,Goa,70000-80000,Snowy,High,Villa,Significant article wait must factor social.,Street Food,3,Turn blue fly whole science.,Periyar Wildlife Sanctuary
Mumbai,124930,125971,2024-04-05,2025-01-02,Family,"Nature, Relaxation, Cultural",Homestay,Seafood,"Kerala, Goa",English,Varanasi,10000-20000,Moderate,Medium,Hotel,Month commercial goal culture people.,Street Food,2,Keep country whose.,"Solang Valley, Rohtang Pass"
Varanasi,60262,42197,2024-06-12,2024-08-23,Group,"Food-related, Relaxation",Resort,Street Food,Kerala,English,Rishikesh,160000-170000,Snowy,Low,Villa,Move himself strong.,Vegetarian,5,Read imagine none south its join.,"Munnar, Alleppey, Varkala"
Jaipur,198523,85789,2024-03-01,2024-08-28,Solo,"Cultural, Relaxation, Food-related",Villa,North Indian,"Rishikesh, Leh",English,Kerala,190000-200000,Tropical,Low,Villa,Road trouble those.,North Indian,1,A middle program painting.,"Fort Kochi, Thekkady"
Varanasi,185895,152397,2024-01-23,2024-02-04,Couple,"Nature, Adventure, Cultural",Resort,Street Food,"Kerala, Manali",English,Jaipur,170000-180000,Tropical,Medium,Resort,Fall police oil material continue site.,South Indian,4,Behavior reveal occur deal middle.,Kashi Vishwanath Temple
Varanasi,10447,48385,2024-05-24,2025-01-08,Solo,"Adventure, Cultural",Villa,South Indian,"Andaman, Manali",English,Leh,0-10000,Moderate,Low,Homestay,Less last want.,South Indian,1,Officer such check.,Periyar Wildlife Sanctuary
Kerala,131631,19020,2024-07-13,2024-09-27,Family,Nature,Homestay,Vegetarian,"Jaipur, Delhi, Manali",English,Varanasi,190000-200000,Snowy,Low,Hostel,Yard region bad anything bit.,North Indian,5,Market sort particular.,"Solang Valley, Rohtang Pass"
Andaman,95451,33398,2024-11-02,2024-11-14,Solo,Relaxation,Hotel,Vegetarian,"Leh, Rishikesh, Mumbai",English,Delhi,170000-180000,Snowy,Medium,Hotel,Industry lawyer here money position produce.,North Indian,1,Instead in miss worry popular.,"Munnar, Alleppey, Varkala"
Goa,61223,80360,2024-08-27,2025-01-09,Couple,"Food-related, Cultural, Nature",Hostel,Seafood,"Kerala, Varanasi, Andaman",English,Goa,120000-130000,Moderate,Medium,Hotel,National water yourself deal.,Seafood,5,Eye wish kitchen serve kid.,"Fort Kochi, Thekkady"
Goa,154407,142770,2024-05-23,2024-08-06,Solo,"Cultural, Adventure",Hostel,Street Food,Varanasi,English,Jaipur,140000-150000,Tropical,High,Hotel,Commercial ready expect enter child.,South Indian,2,Resource could behind within song catch.,Kashi Vishwanath Temple
Kerala,146248,151432,2024-11-04,2024-11-27,Solo,Relaxation,Villa,Street Food,Varanasi,English,Delhi,100000-110000,Tropical,Low,Hotel,Fill the house condition.,Seafood,5,My civil sport summer.,Periyar Wildlife Sanctuary
Leh,165100,100937,2024-11-28,2024-12-30,Solo,Cultural,Homestay,North Indian,"Delhi, Manali, Jaipur",English,Manali,120000-130000,Tropical,Medium,Hotel,Too none who product.,South Indian,1,Keep increase team.,"Solang Valley, Rohtang Pass"
Kerala,184130,29201,2024-09-09,2024-11-04,Group,"Cultural, Food-related",Hotel,Vegetarian,"Mumbai, Kerala",English,Leh,30000-40000,Tropical,Low,Homestay,Hold continue test people.,Street Food,1,Out remain natural stuff.,"Munnar, Alleppey, Varkala"
Manali,104198,137702,2024-08-27,2024-10-08,Family,Relaxation,Hostel,Vegetarian,Andaman,English,Goa,100000-110000,Snowy,Medium,Homestay,Choose make shoulder.,Vegetarian,3,Place attorney already space network.,"Fort Kochi, Thekkady"
Jaipur,72347,40317,2024-06-10,2024-10-19,Family,Nature,Villa,Vegetarian,"Jaipur, Manali, Leh",English,Andaman,30000-40000,Moderate,High,Hotel,Effort power test collection finish walk.,Vegetarian,2,Treatment young human.,Kashi Vishwanath Temple
Kerala,29692,127420,2024-08-14,2024-08-21,Family,Adventure,Homestay,Seafood,"Manali, Varanasi, Rishikesh",English,Goa,180000-190000,Tropical,Low,Hotel,Shake democratic professional pick against.,North Indian,3,Newspaper state newspaper any building.,Periyar Wildlife Sanctuary
